params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",2.0646649999999998,100,-0.004999999999999999,-0.005,-0.005,-0.005,8.673617379884035e-19
"{""discount_factor"": 0.1}",10.246780000000001,100,-0.004999999999999999,-0.005,-0.005,-0.005,8.673617379884035e-19
"{""discount_factor"": 0.2}",1.7686390000000003,100,-0.0036611919077490255,-0.003930578746285552,-0.012262773722627737,0.009999999999999998,0.0030983588885538688
"{""discount_factor"": 0.3}",1.9844049999999989,100,-0.004864417823788959,-0.005,-0.007584415584415584,0.005806451612903226,0.0012455190048284966
"{""discount_factor"": 0.4}",1.9908209999999968,100,-0.004999999999999999,-0.005,-0.005,-0.005,8.673617379884035e-19
"{""discount_factor"": 0.5}",1.2533969999999997,100,0.034843788806584716,0.050833333333333335,-0.08153846153846155,0.0667857142857143,0.04008085866391504
"{""discount_factor"": 0.6}",1.262511,100,0.021154443884067255,0.04789473684210527,-0.08153846153846155,0.0667857142857143,0.051624239763512256
"{""discount_factor"": 0.7}",1.2296809999999994,100,0.032214628349856715,0.05247549019607843,-0.08153846153846155,0.0667857142857143,0.04656329788785702
"{""discount_factor"": 0.8}",1.3230450000000005,100,0.032432972699765,0.04789473684210527,-0.07607142857142857,0.0667857142857143,0.042300007844267386
"{""discount_factor"": 0.9}",1.4051309999999972,100,0.0270274917448423,0.050833333333333335,-0.07607142857142857,0.0667857142857143,0.049507161305633415
