step,reward,mean,median,std,max,min
0,0.10666666666666666,0.10666666666666666,0.10666666666666666,0.0,0.10666666666666666,0.10666666666666666
1,0.120625,0.11364583333333333,0.11364583333333333,0.006979166666666668,0.120625,0.10666666666666666
2,0.120625,0.11597222222222221,0.120625,0.006580021436041485,0.120625,0.10666666666666666
3,0.07875,0.10666666666666666,0.11364583333333333,0.01709539716317426,0.120625,0.07875
4,-0.33666666666666667,0.017999999999999995,0.10666666666666666,0.17799132898667971,0.120625,-0.33666666666666667
5,0.1625,0.04208333333333333,0.11364583333333333,0.17117475198636214,0.1625,-0.33666666666666667
6,0.120625,0.053303571428571415,0.120625,0.1608425634445668,0.1625,-0.33666666666666667
7,-0.33666666666666667,0.004557291666666657,0.11364583333333333,0.1981664388156412,0.1625,-0.33666666666666667
8,0.07230769230769231,0.012085113960113952,0.10666666666666666,0.1880424312618092,0.1625,-0.33666666666666667
9,0.1625,0.02712660256410256,0.11364583333333333,0.1840113522970316,0.1625,-0.33666666666666667
10,0.03365384615384615,0.02771998834498834,0.10666666666666666,0.1754579746308521,0.1625,-0.33666666666666667
11,0.13857142857142857,0.036957608363858356,0.11364583333333333,0.17075922322432247,0.1625,-0.33666666666666667
12,-0.5025,-0.004539130741053819,0.10666666666666666,0.21812722599848197,0.1625,-0.5025
13,0.120625,0.004401164311878597,0.11364583333333333,0.2126500113782876,0.1625,-0.5025
14,0.1625,0.01494108669108669,0.120625,0.2091903877871615,0.1625,-0.5025
15,0.0955,0.019976018772893775,0.11364583333333333,0.203484244628817,0.1625,-0.5025
16,-0.08153846153846155,0.014004578754578756,0.10666666666666666,0.19884850974567353,0.1625,-0.5025
17,-0.129375,0.006039046601546603,0.10108333333333333,0.19601700833749397,0.1625,-0.5025
18,0.1625,0.014273833622517834,0.10666666666666666,0.19396142092619725,0.1625,-0.5025
19,0.1625,0.021685141941391945,0.11364583333333333,0.19179051982899162,0.1625,-0.5025
20,0.0667857142857143,0.023832788243502535,0.10666666666666666,0.18741464996783186,0.1625,-0.5025
21,-0.5025,-9.142940392939644e-05,0.10108333333333333,0.2134184297308423,0.1625,-0.5025
22,0.1625,0.006977763178850143,0.10666666666666666,0.21134455260483523,0.1625,-0.5025
23,0.1625,0.013457856379731384,0.11364583333333333,0.20921573052896228,0.1625,-0.5025
24,0.1625,0.019419542124542128,0.120625,0.20705886542433716,0.1625,-0.5025
25,0.13857142857142857,0.024002306987883915,0.120625,0.20432679996059727,0.1625,-0.5025
26,0.120625,0.02758092524759192,0.120625,0.20133587561005142,0.1625,-0.5025
27,0.07230769230769231,0.029178309785452643,0.120625,0.19788206062238392,0.1625,-0.5025
28,0.13857142857142857,0.032950486295313886,0.120625,0.19546221805630284,0.1625,-0.5025
29,-0.5025,0.015102136752136756,0.120625,0.21487276838233255,0.1625,-0.5025
30,0.1625,0.019856906534325893,0.120625,0.2129769399112322,0.1625,-0.5025
31,0.120625,0.023005909455128218,0.120625,0.2103547134152655,0.1625,-0.5025
32,-0.25375,0.014619366744366757,0.120625,0.21250626962272054,0.1625,-0.5025
33,0.1625,0.018968797134238324,0.120625,0.21084352072843837,0.1625,-0.5025
34,0.13857142857142857,0.022386015175300904,0.120625,0.2087627326556122,0.1625,-0.5025
35,-0.5025,0.007805848087098101,0.120625,0.22318515931766414,0.1625,-0.5025
36,0.1625,0.011986771111771126,0.120625,0.22157310236078562,0.1625,-0.5025
