params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",1.092094,100,0.007410787305877167,0.0008162446057605465,-0.017756410256410258,0.1625,0.020892011480048718
"{""discount_factor"": 0.1}",0.9510200000000002,100,0.014212897151803383,0.002613636363636364,-0.003746882793017455,0.13857142857142857,0.028466914699387932
"{""discount_factor"": 0.2}",0.988953,100,0.012945672716456311,0.0049592817896389335,-0.015698924731182794,0.13857142857142857,0.025225379893670703
"{""discount_factor"": 0.3}",0.9532150000000001,100,0.01527202346383991,0.0029133858267716534,-0.02530612244897959,0.13857142857142857,0.030050369545059494
"{""discount_factor"": 0.4}",0.9542359999999999,100,0.014302846227250077,0.00466346153846154,-0.009627906976744186,0.13857142857142857,0.02533918259326857
"{""discount_factor"": 0.5}",1.0841789999999998,100,0.014296189420377955,0.002702167019027484,-0.028690476190476193,0.1625,0.03343033792244343
"{""discount_factor"": 0.6}",0.840611,100,0.03676624950256089,0.04068181818181818,-0.14714285714285716,0.1625,0.07273828921091641
"{""discount_factor"": 0.7}",0.850695,100,0.04506366319122217,0.05247549019607843,-0.25375,0.1625,0.07995186485452846
"{""discount_factor"": 0.8}",0.8447599999999991,100,0.050311241015183514,0.06439285714285715,-0.33666666666666667,0.1625,0.08602436593744581
"{""discount_factor"": 0.9}",0.8627249999999993,100,0.03033907897657899,0.120625,-0.5025,0.1625,0.20234151634803163
