params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",2.608187000000001,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""discount_factor"": 0.1}",1.881300000000003,100,-3.5043269230769227,-13.375,-13.375,6.769230769230769,10.070100760055857
"{""discount_factor"": 0.2}",1.9354590000000016,100,-5.72019230769231,-13.375,-13.375,6.769230769230769,9.777736539798767
"{""discount_factor"": 0.3}",1.733583000000003,100,-4.712980769230769,-13.375,-13.375,6.769230769230769,9.972920192095904
"{""discount_factor"": 0.4}",1.5782000000000025,100,-1.288461538461538,6.769230769230769,-13.375,6.769230769230769,9.868617329097612
"{""discount_factor"": 0.5}",1.7815820000000002,100,-4.712980769230769,-13.375,-13.375,6.769230769230769,9.972920192095904
"{""discount_factor"": 0.6}",1.658103000000004,100,-1.0870192307692303,6.769230769230769,-13.375,6.769230769230769,9.825347267057245
"{""discount_factor"": 0.7}",1.7121679999999984,100,-1.2884615384615383,6.769230769230769,-13.375,6.769230769230769,9.868617329097612
"{""discount_factor"": 0.8}",1.8937840000000037,100,-4.5115384615384615,-13.375,-13.375,6.769230769230769,9.999333187827249
"{""discount_factor"": 0.9}",1.895789999999998,100,-2.094230769230769,6.769230769230769,-13.375,6.769230769230769,9.999333187827249
