steps,time,reward,delta,converged
1,0.0029020000001764856,-0.026170212765957452,0.699905521928576,False
2,0.0007310000000870787,-0.08791666666666666,0.7001072659639188,False
3,0.0017840000000433065,-0.05736842105263158,0.6998445042342609,False
4,0.002591999999822292,-0.03263888888888889,0.20997165657857286,False
5,0.00884200000018609,-0.018266666666666667,0.7002502833435953,False
6,0.00300199999992401,-0.026630434782608698,0.7001986721555814,False
7,0.002168999999867083,-0.06027777777777778,0.7004498849777202,False
8,0.0032039999996413826,-0.0671875,0.6969140001174992,False
9,0.0012309999997341947,-0.06027777777777778,0.7003975303152166,False
10,0.0014709999995830003,-0.0482608695652174,0.21005960164667434,False
11,0.0006809999999859428,-0.11555555555555556,0.06299149697357186,False
12,0.0012400000000525324,-0.05238095238095238,0.6999402865268772,False
13,0.0033889999999701104,-0.044800000000000006,0.21011925909456497,False
14,0.0054530000002159795,-0.022456140350877198,0.697564230302779,False
15,0.0015039999998407438,-0.04326923076923077,0.6999424988056865,False
16,0.0009589999999661813,-0.06352941176470589,0.01889744909207155,False
17,0.003386000000318745,-0.02186440677966102,0.6959020687454067,False
18,0.001067000000148255,-0.06027777777777778,0.7002544738851741,False
19,0.0007340000001931912,-0.08153846153846155,0.7003010733120094,False
20,0.006191999999828113,-0.024509803921568627,0.0630357777283695,False
21,0.00136099999963335,-0.06027777777777778,0.6999740928440048,False
22,0.0008390000002691522,-0.08153846153846155,0.20999222785320143,False
23,0.0005200000000513683,-0.129375,0.6952188213020724,False
24,0.0012309999997341947,-0.05736842105263158,0.20998274964170602,False
25,0.0016749999999774445,-0.050227272727272725,0.6955672916638549,False
26,0.0008219999999710126,-0.14714285714285716,0.695047734423462,False
27,0.002062000000023545,-0.0482608695652174,0.6955120480114282,False
28,0.003084999999828142,-0.027613636363636365,0.7000801450127923,False
29,0.000683000000208267,-0.08791666666666666,0.20877062062362206,False
30,0.004781999999977415,-0.01670588235294118,0.6950305674618203,False
31,0.00508399999989706,-0.016306818181818186,0.6958770389963397,False
32,0.00091999999995096,-0.129375,0.694943459393907,False
33,0.004981000000043423,-0.016987951807228917,0.7002953551406369,False
34,0.0019019999999727588,-0.03609375,0.20850917023854615,False
35,0.001431000000138738,-0.04326923076923077,0.7000318925332117,False
36,0.0010520000000724394,-0.05736842105263158,0.7004118146365367,False
37,0.0011639999997896666,-0.06352941176470589,0.6948939309540207,False
38,0.0014930000002095767,-0.04645833333333333,0.6952808571307325,False
39,0.004205000000183645,-0.023090909090909092,0.7001931488644001,False
40,0.005157999999937601,-0.016845238095238097,0.7004521030758338,False
41,0.004473999999845546,-0.01844594594594595,0.695303348213111,False
42,0.0035710000001927256,-0.027613636363636365,0.6948188019355345,False
43,0.003540000000157306,-0.024134615384615386,0.6999925497766738,False
44,0.0022189999999682186,0.02144736842105263,0.6996691446978545,False
45,0.001596999999947002,-0.041851851851851855,0.6999769317800791,False
46,0.002025000000230648,-0.0318918918918919,0.7000850480283133,False
47,0.0014320000000225264,-0.04326923076923077,0.6957607499236497,False
48,0.003725999999915075,-0.022767857142857145,0.7000006067582752,False
49,0.0020409999997355044,-0.03609375,0.6948427428926373,False
50,0.0031669999998484855,-0.023090909090909092,0.6974294551003322,False
51,0.0012179999998807034,-0.05736842105263158,0.6976499559825576,False
52,0.004054999999880238,-0.019632352941176472,0.21008775247770145,False
53,0.00138699999979508,-0.044800000000000006,1.1901165641219742,False
54,0.0033269999998992716,-0.028139534883720934,0.7003664032715042,False
55,0.0023260000002665038,0.02216216216216216,0.6997461321607104,False
56,0.003857000000152766,-0.030512820512820518,0.7003780334883075,False
57,0.005375000000185537,-0.0180921052631579,0.6964242506378782,False
58,0.0014290000003711611,-0.05238095238095238,0.7001390300088656,False
59,0.002611000000342756,-0.03426470588235294,0.6958457951048485,False
60,0.0015789999997650739,0.03222222222222222,0.20992383964821315,False
61,0.005614000000150554,-0.014660194174757283,0.6948457479007106,False
62,0.0017569999999977881,-0.03609375,0.8006854053531953,False
63,0.0010139999999410065,-0.0671875,0.6949292173880153,False
64,0.002357000000301923,0.02144736842105263,0.06297715189446394,False
65,0.00620600000002014,-0.015364583333333336,0.6948812717462884,False
66,0.0028899999997520354,-0.024900000000000002,0.6999848394252395,False
67,0.001227000000199041,-0.050227272727272725,0.6951667163399216,False
68,0.00454200000012861,-0.018266666666666667,0.2100095677599635,False
69,0.002164999999877182,0.04285714285714286,0.018893145568339174,False
70,0.005480000000261498,-0.017756410256410258,0.6948344237450589,False
71,0.005245000000286382,-0.01605555555555556,0.6948615736875073,False
72,0.004970999999841297,0.011749999999999998,0.005667943670501729,False
73,0.003173999999944499,-0.024134615384615386,0.6938401106553564,False
74,0.0029020000001764856,0.015510204081632652,0.0017003831011505265,False
75,0.0008689999999660358,-0.07607142857142857,0.21003217978917568,False
76,0.004162000000178523,0.008223684210526314,0.0005101149303451735,False
77,0.004033000000163156,0.017840909090909088,0.00015303447910357536,False
78,0.0035639999996419647,0.010703124999999997,4.591034373102598e-05,False
79,0.0016369999998460116,-0.03931034482758621,1.4000035344282113,False
80,0.0034860000000662694,-0.02342592592592593,0.20926926909083376,False
81,0.011063000000376633,-0.011419354838709681,0.7002450643886362,False
82,0.014626000000134809,-0.010437158469945359,0.6948131705996634,False
83,0.0014419999997699051,-0.04326923076923077,0.6948085452661064,False
84,0.018334999999751744,-0.008361486486486455,0.6948547812390804,False
85,0.02244700000028388,-0.007867435158501399,0.7002088115172593,False
86,0.013570999999956257,-2.4752475247527522e-05,0.7051659005607306,False
87,0.007213999999748921,-0.014754901960784318,0.695490388098994,False
88,0.010643000000072789,0.00037433155080213523,0.6396924239733376,False
89,0.007586000000173954,-0.013652173913043481,0.6948331648860654,False
90,0.0038500000000567525,0.01095238095238095,0.5716718827815905,False
91,0.008483000000069296,-0.013504273504273509,0.6950380678060162,False
92,0.003782000000228436,-0.020793650793650795,0.6948331648879211,False
93,0.003709999999955471,0.010703124999999997,0.6343799894876113,False
94,0.006217999999989843,0.005691489361702124,0.19031399684628342,False
95,0.016920000000027358,-0.008631386861313843,0.21002551440849404,False
96,0.028405000000020664,-0.002468513853904231,0.6192037380094499,False
97,0.006120000000009895,0.006686046511627904,0.6990000757581488,False
98,0.005016999999952532,0.006043956043956041,0.702904219159874,False
99,0.004588000000239845,0.007407407407407404,0.7050413133336857,False
