episode,length,time,reward,delta
0,5.0,0.00046799999995528196,-1.025,-1.0
1,1.0,0.00013800000010633084,-1.005,-1.0
2,8.0,0.0007390000000668806,-1.04,-1.0
3,3.0,0.00024600000006103073,-1.015,-1.0
4,5.0,0.00036100000011174416,-1.025,-1.0
5,8.0,0.0006160000000363652,-1.04,-1.0
6,7.0,0.0005139999998391431,-1.035,-1.0
7,5.0,0.00036100000011174416,-1.025,-1.0
8,1.0,0.00012400000014167745,-1.005,-0.9955
9,13.0,0.000814999999874999,-1.065,-1.0
10,6.0,0.0004500000000007276,-1.03,-0.09999999999999998
11,7.0,0.00047199999994518294,-1.035,-1.0
12,3.0,0.00024200000007112976,-1.015,-0.9950005
13,8.0,0.0005269999999200081,-1.04,-0.09999999999999998
14,13.0,0.0013309999999364663,-1.065,-0.975262192532155
15,9.0,0.002940000000080545,-1.045,-0.98767855
16,5.0,0.000753000000031534,-1.025,-0.9876257641
17,4.0,0.000289000000066153,-1.02,-0.010000000000000009
18,2.0,0.00017500000012660166,-1.01,-0.8942904263750351
19,27.0,0.0015249999999014108,-1.135,-0.891536371625182
20,4.0,0.0002809999998589774,-1.02,-0.97544337805
21,9.0,0.0005499999999756255,-1.045,-1.0
22,9.0,0.000573000000031243,-1.045,-1.0
23,5.0,0.00033499999995001417,-1.025,-0.9808370783716251
24,2.0,0.0001720000000204891,-1.01,-0.09876257640999997
25,11.0,0.00099499999987529,-1.055,-0.98605
26,2.0,0.00035100000013699173,-1.01,-0.0010000000000000009
27,18.0,0.001146000000062486,-1.09,-0.09999999999999998
28,8.0,0.0008310000000619766,-1.04,-0.09999999999999998
29,17.0,0.0019140000001698354,-1.085,-0.09808370783716247
30,18.0,0.0013850000000275031,-1.09,-0.010000000000000009
31,27.0,0.0017510000000129367,-1.135,-0.010000000000000009
32,13.0,0.0008960000000115542,-1.065,-0.0010000000000000009
33,15.0,0.0009830000001329608,-1.075,-0.009808370783716214
34,5.0,0.0005280000000311702,-1.025,-9.999999999998899e-05
35,12.0,0.001467999999931635,-1.06,-0.09999999999999998
36,7.0,0.0019930000000840664,-1.035,-0.09999999999999998
37,1.0,0.0004590000000916916,-1.005,-0.0009808370783715992
38,3.0,0.00041599999985919567,-1.015,-0.9797946651344236
39,37.0,0.004732999999987442,-1.185,-0.9672309055125379
40,6.0,0.0005670000000463915,-1.03,-0.09754433780499994
41,17.0,0.0014609999998356216,-1.085,-0.9630993911523174
42,26.0,0.0017789999999422434,-1.1300000000000001,-0.8915580305101046
43,11.0,0.0007069999999202992,-1.055,-0.89513466355
44,9.0,0.0005830000000059954,0.955,1.0045
45,4.0,0.00030999999989944627,-1.02,-0.009754433780500005
46,1.0,0.00021200000014687248,-1.005,-0.0009754433780500005
47,17.0,0.0010609999999360298,0.915,0.10044999999999993
48,7.0,0.00048399999991488585,-1.035,-0.9607592519945625
49,6.0,0.0004220000000714208,-1.03,-0.8754359452389032
50,1.0,0.00012599999990925426,-1.005,-9.754433780495564e-05
51,11.0,0.0006739999998899293,0.9450000000000001,0.10364094999999995
52,5.0,0.0003400000000510772,-1.025,-9.754433780484462e-06
53,2.0,0.00020100000006095797,-1.01,-9.99999999995449e-06
54,3.0,0.0004060000001118169,-1.015,-1.0000000000287557e-06
55,1.0,0.0001190000000406144,-1.005,-9.754433780706506e-07
56,3.0,0.00022899999999026477,-1.015,-1.0000000005838672e-07
57,2.0,0.00020700000004580943,-1.01,-0.9775707491842865
58,36.0,0.0020079999999325082,-1.1800000000000002,-9.999999999998899e-05
59,6.0,0.00038900000004105095,-1.03,-0.9677184333743739
60,7.0,0.0004630000000815926,0.965,0.010364095000000018
61,15.0,0.0008780000000569999,-1.075,-1.7696155093705
62,9.0,0.0005480000002080487,0.955,0.0010364094999999462
63,22.0,0.0012519999997948617,-1.11,-1.6155324453205
64,10.0,0.0006020000000717118,0.95,0.179844142296385
65,12.0,0.0007190000001173757,-1.06,-1.634447530712305
66,26.0,0.001467999999931635,-1.1300000000000001,-1.358167598938564
67,62.0,0.0034089999999196152,-1.31,-1.492500607197368
68,14.0,0.0009469999999964784,0.93,0.46506867022497866
69,12.0,0.0007419999999456195,-1.06,-9.99999999995449e-06
70,12.0,0.0008920000000216532,0.9400000000000001,0.046506867022497844
71,30.0,0.0017490000000179862,-1.1500000000000001,-0.0010000000000000009
72,5.0,0.00033600000006117625,0.975,0.004650686702249773
73,6.0,0.0003930000000309519,-1.03,-0.09999999999999998
74,2.0,0.0001729999999042775,-1.01,-1.251329637769245
75,15.0,0.0008819999998195271,0.925,0.00046506867022499954
76,15.0,0.0009079999999812571,-1.075,-9.808370783714881e-05
77,21.0,0.0012010000000373111,0.895,4.6506867022455545e-05
78,13.0,0.0007699999998749263,-1.065,-1.6105672429561109
79,6.0,0.00038999999992483936,-1.03,-1.0728505968325226
