steps,time,reward,delta,converged
1,0.0017569999999977881,-0.041851851851851855,0.10005288538752602,False
2,0.0018529999997554114,-0.041851851851851855,0.10006987429755405,False
3,0.005051999999977852,-0.025729166666666668,0.10000365898417879,False
4,0.003361999999924592,-0.03609375,0.10000610247604858,False
5,0.005000999999992928,-0.03263888888888889,0.10008602104256743,False
6,0.0026399999997011037,-0.03263888888888889,0.10001958577912456,False
7,0.004496999999901163,-0.03609375,0.09007741893831069,False
8,0.0017100000000027649,-0.11555555555555556,0.09000549222844373,False
9,0.003110999999989872,-0.026630434782608698,0.10005877670004658,False
10,0.00033699999994496466,-0.20400000000000001,0.09004759684877342,False
11,0.001954000000296219,-0.05475,0.09996645374391501,False
12,0.005612000000382977,-0.04326923076923077,0.0999393063327707,False
13,0.007689999999911379,-0.02186440677966102,0.10007665887394782,False
14,0.0033829999997578852,-0.024509803921568627,0.08106967704447961,False
15,0.0024040000002969464,-0.06352941176470589,0.09998378266634575,False
16,0.0017700000003060268,-0.05238095238095238,0.09982924486258132,False
17,0.0033180000000356813,-0.022767857142857145,0.10007280793142595,False
18,0.005376000000069325,-0.015934065934065936,0.08104283716389608,False
19,0.003212000000075932,-0.027111111111111117,0.07293855344750647,False
20,0.003184000000146625,-0.040535714285714286,0.10003688237016042,False
21,0.0015869999997448758,-0.06027777777777778,0.10003854039650828,False
22,0.0016129999999066058,-0.03931034482758621,0.10007593964139538,False
23,0.0024189999999180145,-0.028139534883720934,0.0900032930857609,False
24,0.001659999999901629,-0.03816666666666667,0.100062204896141,False
25,0.005715000000236614,-0.019632352941176472,0.09999336971273466,False
26,0.00183999999990192,-0.050227272727272725,0.09994181733126954,False
27,0.00495199999977558,-0.017283950617283956,0.10003606225015416,False
28,0.0015220000000226719,-0.041851851851851855,0.09001762720121209,False
29,0.0013680000001841108,-0.04645833333333333,0.09967416646240061,False
30,0.0036079999999856227,-0.025729166666666668,0.07296270934003166,False
31,0.0037959999999657157,-0.029268292682926834,0.09997368507582137,False
32,0.00041400000009161886,-0.14714285714285716,0.0900528990300419,False
33,0.0011180000001331791,-0.05475,0.06902604441120266,False
34,0.004887999999937165,-0.018630136986301376,0.09999209700557693,False
35,0.007634999999936554,-0.01581521739130435,0.09991886697765089,False
36,0.0037359999996624538,-0.021583333333333336,0.0810029637771848,False
37,0.008562999999867316,-0.01200704225352113,0.10005271327406684,False
38,0.01049799999964307,-0.011909722222222226,0.09985460920135629,False
