step,reward,mean,median,std,max,min
0,-0.000572687224669603,-0.000572687224669603,-0.000572687224669603,0.0,-0.000572687224669603,-0.000572687224669603
1,0.002613636363636364,0.0010204745694833805,0.0010204745694833805,0.0015931617941529834,0.002613636363636364,-0.000572687224669603
2,-0.00014492753623188338,0.000632007200911626,-0.00014492753623188338,0.0014120635471262012,0.002613636363636364,-0.000572687224669603
3,0.009357142857142857,0.0028132911149694336,0.0012343544137022402,0.003971075564255108,0.009357142857142857,-0.000572687224669603
4,0.003375000000000001,0.0029256328919755473,0.002613636363636364,0.0035589374269664794,0.009357142857142857,-0.000572687224669603
5,-0.005,0.0016046940766462892,0.0012343544137022402,0.00439083436757028,0.009357142857142857,-0.005
6,-0.0027516778523489927,0.0009823552296469632,-0.00014492753623188338,0.0043415500122317196,0.009357142857142857,-0.005
7,0.04285714285714286,0.00621670368308395,0.0012343544137022402,0.014431969739751669,0.04285714285714286,-0.005
8,0.000614525139664805,0.005594239400481823,0.000614525139664805,0.013720022890073107,0.04285714285714286,-0.005
9,-0.002136752136752136,0.004821140246758427,0.0002347988017164608,0.013220978254543325,0.04285714285714286,-0.005
10,0.0050500000000000015,0.004841945678871297,0.000614525139664805,0.012605879852209187,0.04285714285714286,-0.005
11,0.00012755102040816423,0.004449079457332703,0.0003710380800364846,0.012139342602708157,0.04285714285714286,-0.005
12,0.0005833333333333338,0.004151714370871213,0.0005833333333333338,0.011708504867685246,0.04285714285714286,-0.005
13,0.027419354838709678,0.005813688690002532,0.0005989292364990695,0.012775174008018676,0.04285714285714286,-0.005
14,0.022916666666666665,0.006953887221780141,0.000614525139664805,0.013058540138888483,0.04285714285714286,-0.005
15,0.00037433155080213935,0.006542664992344016,0.0005989292364990695,0.012743790035886608,0.04285714285714286,-0.005
16,-0.0023412698412698407,0.006020080590366731,0.0005833333333333338,0.012538760244598426,0.04285714285714286,-0.005
17,0.007256097560975609,0.006088748199845002,0.0005989292364990695,0.012188773312713404,0.04285714285714286,-0.005
18,0.0352,0.007620919347221582,0.000614525139664805,0.013527852494092708,0.04285714285714286,-0.005
19,0.0010542168674698795,0.007292584223233996,0.0008343710035673423,0.013262764740659043,0.04285714285714286,-0.005
20,-0.003381642512077294,0.006784287712028696,0.000614525139664805,0.013141232846978854,0.04285714285714286,-0.005
21,-0.0013718411552346569,0.0064135545816985445,0.0005989292364990695,0.012951010326369252,0.04285714285714286,-0.005
22,-0.0010894941634241248,0.006087335071041037,0.0005833333333333338,0.012758422292409722,0.04285714285714286,-0.005
23,-0.003131970260223048,0.005703197348905033,0.0004788324420677366,0.012624930550708265,0.04285714285714286,-0.005
24,0.010952380952380951,0.0059131646930440694,0.0005833333333333338,0.012412549593387888,0.04285714285714286,-0.005
25,-0.0014107142857142853,0.005631477040014902,0.0004788324420677366,0.012252724724011937,0.04285714285714286,-0.005
26,-0.00201780415430267,0.005348170329114251,0.00037433155080213935,0.012110150704504013,0.04285714285714286,-0.005
27,-0.0021927374301675974,0.005078852194854185,0.0002509412856051518,0.011973989129630425,0.04285714285714286,-0.005
28,0.029655172413793104,0.005926311512748631,0.00037433155080213935,0.012591332162104462,0.04285714285714286,-0.005
29,0.0047572815533980595,0.005887343847436945,0.0004788324420677366,0.012381476486475815,0.04285714285714286,-0.005
30,-0.0008979591836734693,0.005668463104497899,0.00037433155080213935,0.01223899632798598,0.04285714285714286,-0.005
31,-0.00305984555984556,0.005395703458737166,0.0002509412856051518,0.012141595094924155,0.04285714285714286,-0.005
32,0.04068181818181818,0.006464979662466894,0.00037433155080213935,0.013399192530879147,0.04285714285714286,-0.005
33,0.0010542168674698795,0.006305839580261099,0.0004788324420677366,0.013232292474688203,0.04285714285714286,-0.005
34,0.007721518987341772,0.006346287563320547,0.0005833333333333338,0.013044022240551874,0.04285714285714286,-0.005
35,0.006964285714285714,0.006363454178625135,0.0005989292364990695,0.012861980342810633,0.04285714285714286,-0.005
36,0.00174496644295302,0.006238630185769131,0.000614525139664805,0.012709066045898026,0.04285714285714286,-0.005
37,0.008581081081081082,0.006300273630382604,0.0008343710035673423,0.012546330969794623,0.04285714285714286,-0.005
38,0.009565217391304347,0.006383990137072905,0.0010542168674698795,0.012395183637217701,0.04285714285714286,-0.005
39,-0.0038092417061611366,0.006129159340992054,0.0008343710035673423,0.012342292073029122,0.04285714285714286,-0.005
40,0.0029133858267716534,0.006050725840645215,0.0010542168674698795,0.012200935509473931,0.04285714285714286,-0.005
41,0.0011280487804878048,0.0059335192439748,0.0010542168674698795,0.012078149987215098,0.04285714285714286,-0.005
42,0.0007758620689655176,0.00581357372827691,0.0010542168674698795,0.011962163692105404,0.04285714285714286,-0.005
43,0.005691489361702128,0.005810799083582028,0.0010542168674698795,0.011825462756956227,0.04285714285714286,-0.005
44,-0.0012915129151291514,0.0056529699280551135,0.0010542168674698795,0.011740103102077066,0.04285714285714286,-0.005
45,-0.003778857837181044,0.00544793019402824,0.0009150394682176986,0.011692971145530574,0.04285714285714286,-0.005
46,-0.0021037463976945237,0.0052872562239915846,0.0007758620689655176,0.011619124802391882,0.04285714285714286,-0.005
47,-0.0003037383177570086,0.00517077717103849,0.0006951936043151613,0.011525152621344662,0.04285714285714286,-0.005
48,-0.0034123222748815166,0.004995611876223796,0.000614525139664805,0.011471317377443207,0.04285714285714286,-0.005
