episode,length,time,reward,delta
0,6.0,0.0008350000000518776,-1.03,-1.0
1,3.0,0.0004549999999881038,-1.015,-1.0
2,5.0,0.0006599999999252759,-1.025,-1.0
3,1.0,0.00027699999998276326,-1.005,-1.0
4,1.0,0.0002110000000357104,-1.005,-0.9
5,3.0,0.00038799999992988887,-1.015,-0.9995
6,10.0,0.001174999999989268,-1.05,-1.0
7,20.0,0.0021850000000540604,-1.1,-0.9
8,3.0,0.0003839999999399879,-1.015,-1.0
9,8.0,0.0010650000000396176,-1.04,-0.81
10,10.0,0.0011330000000953078,-1.05,-0.81
11,16.0,0.0017379999999320717,-1.08,-1.0
12,11.0,0.0010930000000826112,-1.055,-0.9982805
13,19.0,0.0015899999999646752,-1.095,-0.9
14,13.0,0.0011970000000474101,0.935,1.0
15,20.0,0.0020480000000588916,-1.1,-1.0
16,13.0,0.0019019999999727588,-1.065,-0.9091162099584301
17,3.0,0.0007459999999355205,-1.015,-0.89845245
18,42.0,0.0036460000000033688,-1.2100000000000002,-0.7552747677605667
19,20.0,0.002104000000031192,-1.1,-1.0
20,12.0,0.0011100000000396903,-1.06,-0.81
21,15.0,0.002772999999933745,-1.075,-0.6797472909845099
22,34.0,0.003988999999933185,-1.1700000000000002,-0.999005
23,63.0,0.004136000000016793,0.6849999999999998,0.9
24,12.0,0.0012980000000197833,-1.06,-0.8182045889625871
25,6.0,0.0007659999999987122,-1.03,-0.7363841300663284
26,18.0,0.002939999999966858,-1.09,-0.9453048347688235
27,3.0,0.0015789999999924476,-1.015,-0.6834834808019143
28,9.0,0.002039999999965403,-1.045,-0.9961115231727662
29,14.0,0.0014360000000124273,-1.07,-0.6151351327217229
30,53.0,0.0033569999999372158,-1.2650000000000001,-0.729
31,16.0,0.0010509999999612774,-1.08,-0.6945440138070308
32,39.0,0.004769000000010237,-1.195,-0.7985086057698776
33,20.0,0.001958000000058746,-1.1,-0.9995
34,31.0,0.002403999999955886,-1.155,-0.9805766282220614
35,28.0,0.0018669999999474385,-1.1400000000000001,-0.99945095
36,56.0,0.0035239999999703286,-1.2800000000000002,-0.9877259538539873
37,3.0,0.0002489999999397696,-1.015,-0.5536216194495507
38,19.0,0.0016519999999218271,-1.095,-0.99799739645
39,37.0,0.0037569999999504944,0.815,0.81
40,22.0,0.0012849999999389183,-1.11,-0.6250896124263277
41,13.0,0.0007729999999810389,-1.065,-0.8991045
42,28.0,0.0016140000000177679,-1.1400000000000001,-0.49825945750459555
43,44.0,0.002602000000024418,-1.2200000000000002,-0.44843351175413604
44,23.0,0.0014519999999720312,-1.115,-0.9
45,11.0,0.000665000000026339,-1.055,-0.40359016057872243
46,4.0,0.0002840000000787768,-1.02,-0.36323114452085015
47,21.0,0.001316999999971813,-1.105,-0.9938760511499484
48,30.0,0.002169999999978245,-1.1500000000000001,-0.997681444205
49,6.0,0.0006569999999328502,-1.03,-0.604118465477268
50,29.0,0.002379000000019005,-1.145,-0.9
51,28.0,0.0018489999999928841,-1.1400000000000001,-0.80919405
52,49.0,0.0031749999999419742,0.7549999999999999,0.729
53,27.0,0.0019679999999198117,-1.135,-0.81
54,31.0,0.00275099999998929,-1.155,-0.7282746449999999
55,55.0,0.004829999999969914,-1.2750000000000001,-0.988573773778153
56,12.0,0.0007639999998900748,0.9400000000000001,0.6560999999999999
57,37.0,0.0022359999999252977,-1.185,-0.6554471805
58,47.0,0.0026920000000245636,-1.235,-0.58990246245
59,91.0,0.005154000000061387,0.5449999999999997,0.59049
60,46.0,0.004179999999905704,0.7699999999999999,0.5760847137871359
61,48.0,0.0030130000000099244,-1.2400000000000002,-0.5755215352694073
62,18.0,0.0010599999999385545,-1.09,-0.5179693817424665
63,81.0,0.0048449999999320426,-1.4050000000000002,-0.729
64,53.0,0.003135999999926753,-1.2650000000000001,-0.6251395960826707
65,34.0,0.0024789999999939027,0.83,0.564814800481344
66,129.0,0.00945400000000518,0.35499999999999954,0.5083333204332096
67,11.0,0.0012390000000550572,-1.055,-0.5626256364744036
68,51.0,0.0036320000000387154,-1.2550000000000001,-0.46617244356821985
69,52.0,0.0045400000000199725,-1.2600000000000002,-0.5063630728269632
70,15.0,0.0010440000000926375,-1.075,-0.911517947253226
71,87.0,0.005068999999934931,0.5649999999999997,0.4574999883898886
72,25.0,0.0016580000000203654,0.875,0.5158553313749139
73,35.0,0.0021990000000187138,-1.175,-0.41955519921139783
74,58.0,0.006447999999977583,0.7099999999999999,0.4642697982374224
75,71.0,0.004240999999979067,0.6449999999999998,0.4178428184136802
76,25.0,0.0014310000000250511,-1.125,-0.6560999999999999
77,68.0,0.003941999999938162,-1.3400000000000003,-0.9917100049655504
78,19.0,0.001109000000042215,0.905,0.37605853657231214
79,88.0,0.006876000000033855,0.5599999999999997,0.3384526829150809
80,102.0,0.005843000000027132,0.48999999999999966,0.30460741462357277
81,110.0,0.008222000000046137,0.4499999999999996,0.27414667316121544
82,90.0,0.005144000000086635,-1.4500000000000002,-0.5062559488622544
83,142.0,0.00896099999999933,0.2899999999999995,0.24673200584509392
84,162.0,0.00919099999998707,0.1899999999999994,0.22205880526058452
85,68.0,0.0038369999999758875,0.6599999999999998,0.1998529247345261
86,69.0,0.005171000000018466,0.6549999999999998,0.1798676322610735
87,29.0,0.001644000000055712,0.855,0.16188086903496612
88,37.0,0.0021110000000135187,0.815,0.23223325352051827
89,251.0,0.01867800000002262,-0.25499999999999523,0.20900992816846642
90,9.0,0.0007129999999051506,0.955,0.18810893535161977
91,66.0,0.00379299999997329,0.6699999999999998,0.1692980418164578
92,339.0,0.021065999999905216,-0.6949999999999859,0.152368237634812
93,283.0,0.021884000000000015,-0.4149999999999918,0.2132871519968884
94,83.0,0.0045570000000907385,0.5849999999999997,0.20053885242922764
95,149.0,0.009493000000020402,0.25499999999999945,0.1804849671863049
96,98.0,0.005422999999950662,0.5099999999999997,0.1713121057629976
97,102.0,0.007380999999895721,0.48999999999999966,0.15418089518669786
98,373.0,0.027358000000049287,-0.8649999999999822,0.2809242994822918
99,71.0,0.005080000000020846,0.6449999999999998,0.25283186953406267
