episode,length,time,reward,delta
0,554.0,0.04273100000045815,-2632.0,100.0000583010256
1,293.0,0.020754999999553547,-886.0,10.000005830102552
2,47.0,0.0034420000001773587,-145.0,1.0000005830102623
3,47.0,0.002809000000524975,53.0,0.10000005830102054
4,45.0,0.002718000000641041,-143.0,0.010000005830107739
5,35.0,0.002545000000282016,65.0,0.0010000005830050895
6,33.0,0.0027589999999690917,67.0,0.0001000000582962457
7,44.0,0.0029859999995096587,-43.0,1.000000582962457e-05
8,158.0,0.010640999999850465,-652.0,1.000000580120286e-06
9,26.0,0.0024360000006709015,74.0,1.0000005090660125e-07
10,13.0,0.0010839999995368998,87.0,1.0000007932831068e-08
11,30.0,0.0020489999997153063,70.0,1.0000036354540498e-09
12,15.0,0.000901000000339991,85.0,1.000017846308765e-10
13,21.0,0.001231000000188942,79.0,1.000444171950221e-11
14,15.0,0.0009270000000469736,-14.0,9.947598300641403e-13
15,12.0,0.0007279999999809661,88.0,9.947598300641403e-14
16,24.0,0.0016089999999167048,76.0,1.4210854715202004e-14
17,26.0,0.001954000000296219,74.0,0.0
18,12.0,0.0014329999994515674,88.0,0.0
19,25.0,0.0022819999994680984,-24.0,0.0
20,35.0,0.0026710000001912704,-34.0,0.0
21,15.0,0.0009340000005977345,85.0,0.0
22,49.0,0.003671000000394997,-444.0,0.0
23,16.0,0.0018000000000029104,84.0,0.0
24,37.0,0.004908000000796164,-135.0,0.0
25,26.0,0.0015640000001440058,-223.0,0.0
26,12.0,0.001053999999385269,88.0,0.0
27,25.0,0.0021820000001753215,-24.0,0.0
28,16.0,0.0012419999993653619,84.0,0.0
29,14.0,0.0017189999998663552,86.0,0.0
30,14.0,0.0017199999992953963,86.0,0.0
31,14.0,0.0020619999995687976,86.0,0.0
32,12.0,0.0013779999999314896,88.0,0.0
33,20.0,0.002292000000124972,-19.0,0.0
34,23.0,0.002185999999710475,-22.0,0.0
35,35.0,0.00290099999983795,-133.0,0.0
36,26.0,0.0018810000001394656,-25.0,0.0
37,27.0,0.0019400000001041917,-26.0,0.0
38,20.0,0.0012150000002293382,80.0,0.0
39,18.0,0.0010929999998552375,82.0,0.0
40,19.0,0.0011079999994763057,-117.0,0.0
41,12.0,0.0008590000006734044,88.0,0.0
42,36.0,0.0022559999997611158,-233.0,0.0
43,12.0,0.000893000000360189,88.0,0.0
44,12.0,0.0010640000000421423,88.0,0.0
45,12.0,0.0008530000004611793,88.0,0.0
46,16.0,0.0011050000002796878,84.0,0.0
47,12.0,0.0011559999993551173,88.0,0.0
48,13.0,0.0014099999998506973,87.0,0.0
49,12.0,0.0009259999997084378,88.0,0.0
50,12.0,0.0009159999999610591,88.0,0.0
51,12.0,0.0007539999996879487,88.0,0.0
52,12.0,0.0007470000000466825,88.0,0.0
53,16.0,0.001178999999865482,84.0,0.0
54,17.0,0.0010089999996125698,-16.0,0.0
55,12.0,0.0008740000002944726,88.0,0.0
56,14.0,0.0012049999995724647,86.0,0.0
57,14.0,0.0008399999996981933,86.0,0.0
58,12.0,0.000788000000284228,88.0,0.0
59,26.0,0.0020329999997557024,-25.0,0.0
60,13.0,0.0015400000002046,87.0,0.0
61,20.0,0.0018919999993158854,-19.0,0.0
62,12.0,0.001292999999350286,88.0,0.0
63,50.0,0.004369999999653373,-346.0,0.0
64,16.0,0.0019249999995736289,84.0,0.0
65,12.0,0.0010250000004816684,88.0,0.0
66,14.0,0.0010560000000623404,86.0,0.0
67,15.0,0.0019320000001243898,85.0,0.0
68,12.0,0.0007879999993747333,88.0,0.0
69,12.0,0.0014200000005075708,88.0,0.0
70,14.0,0.0013760000001639128,86.0,0.0
71,12.0,0.0012210000004415633,88.0,0.0
72,12.0,0.0011619999995673425,88.0,0.0
73,12.0,0.001344000000244705,88.0,0.0
74,12.0,0.00128599999970902,88.0,0.0
75,13.0,0.0010860000002139714,-12.0,0.0
76,12.0,0.0013159999998606509,88.0,0.0
77,12.0,0.00148799999988114,88.0,0.0
78,14.0,0.0018800000007104245,86.0,0.0
79,20.0,0.00223199999982171,-19.0,0.0
80,12.0,0.001352999999653548,88.0,0.0
81,12.0,0.000826999999844702,88.0,0.0
82,12.0,0.0009509999999863794,88.0,0.0
83,18.0,0.0013069999995423132,-17.0,0.0
84,12.0,0.0008219999999710126,88.0,0.0
85,12.0,0.0013080000007903436,88.0,0.0
86,12.0,0.001465999999709311,88.0,0.0
87,12.0,0.0011989999993602396,88.0,0.0
88,14.0,0.0011469999999462743,86.0,0.0
89,14.0,0.001186000000416243,86.0,0.0
90,12.0,0.0007779999996273546,88.0,0.0
91,12.0,0.0007740000000922009,88.0,0.0
92,25.0,0.0015889999995124526,-24.0,0.0
93,12.0,0.0007830000004105386,88.0,0.0
94,14.0,0.0008839999991323566,86.0,0.0
95,24.0,0.0019369999999980791,-23.0,0.0
96,12.0,0.0016080000004876638,88.0,0.0
97,12.0,0.001239000000168744,88.0,0.0
98,12.0,0.0009190000000671716,88.0,0.0
99,12.0,0.000954000000092492,88.0,0.0
100,12.0,0.000954000000092492,88.0,0.0
101,14.0,0.001023999999233638,86.0,0.0
102,14.0,0.0009860000000116997,86.0,0.0
103,13.0,0.0014620000001741573,87.0,0.0
104,12.0,0.0015499999999519787,88.0,0.0
105,12.0,0.0011890000005223555,88.0,0.0
106,12.0,0.001554000000396627,88.0,0.0
107,14.0,0.0017609999995329417,86.0,0.0
108,19.0,0.00561199999992823,-18.0,0.0
109,14.0,0.001734999999825959,86.0,0.0
110,12.0,0.0016800000003058813,88.0,0.0
