steps,time,reward,delta,converged
1,0.0020320000003266614,-0.035151515151515156,0.5,False
2,0.002085999999962951,-0.035151515151515156,0.5,False
3,0.006097999999838066,-0.02186440677966102,0.5,False
4,0.0009909999998853891,-0.11555555555555556,0.25,False
5,0.004451000000244676,-0.030512820512820518,0.49875,False
6,0.0008420000003752648,-0.07607142857142857,0.25,False
7,0.0018089999998665007,-0.03609375,0.5,False
8,0.0010050000000774162,-0.1708333333333333,0.5,False
9,0.001352000000224507,-0.07133333333333333,0.125,False
10,0.0031949999997777923,-0.07133333333333333,0.25,False
11,0.0022320000002764573,-0.03609375,0.5,False
12,0.0027720000002773304,-0.027111111111111117,0.5,False
13,0.0014180000002852466,-0.07133333333333333,0.0625,False
14,0.005689000000074884,-0.040535714285714286,0.5,False
15,0.003707000000304106,-0.041851851851851855,0.49875,False
16,0.0027359999999134743,-0.03263888888888889,0.49696875,False
17,0.00030399999968722113,-0.20400000000000001,0.125,False
18,0.0024739999998928397,-0.029875000000000002,0.5,False
19,0.0025559999999131833,-0.03709677419354839,0.49875,False
20,0.003497000000152184,-0.023090909090909092,0.5,False
21,0.0005639999999402789,-0.14714285714285716,0.0625,False
22,0.0012419999998201092,-0.050227272727272725,0.4981875,False
23,0.0013349999999263673,-0.04645833333333333,0.25,False
24,0.002171000000089407,-0.03118421052631579,0.4975625,False
25,0.0008330000000569271,-0.07607142857142857,0.263390625,False
26,0.0012189999997644918,-0.050227272727272725,0.25,False
27,0.00505799999973533,-0.022155172413793105,0.5,False
28,0.0010600000000522414,-0.07607142857142857,0.25,False
29,0.0011650000001282024,-0.05736842105263158,0.249375,False
30,0.0022120000003269524,-0.03118421052631579,0.5,False
31,0.001283999999941443,-0.06352941176470589,0.5,False
32,0.0013770000000477012,-0.06027777777777778,0.497140625,False
33,0.0019299999999020656,-0.035151515151515156,0.5,False
34,0.0005209999999351567,-0.14714285714285716,0.372934375,False
35,0.0012099999999009015,-0.05238095238095238,0.49790625,False
36,0.0014290000003711611,-0.07607142857142857,0.26236253232421874,False
37,0.0003320000000712753,-0.20400000000000001,0.1316953125,False
38,0.0012790000000677537,-0.05475,0.4975625,False
39,0.0009560000003148161,-0.06352941176470589,0.49875,False
40,0.001976999999897089,-0.03263888888888889,0.494173671875,False
41,0.0012729999998555286,-0.05475,0.49875,False
42,0.0007890000001680164,-0.07607142857142857,0.5,False
43,0.0010529999999562278,-0.05736842105263158,0.372578125,False
44,0.0018109999996340775,-0.03609375,0.5,False
45,0.0008830000001580629,-0.07133333333333333,0.49314417749023437,False
46,0.003341999999975087,-0.028139534883720934,0.5,False
47,0.0008689999999660358,-0.07133333333333333,0.49640625,False
48,0.0007370000002993038,-0.08153846153846155,0.4925823417236328,False
49,0.0035490000000208966,-0.021048387096774195,0.49026161772277793,False
50,0.0017070000003513996,-0.03709677419354839,0.5,False
51,0.0014899999996487168,-0.041851851851851855,0.25,False
52,0.0028369999999995343,-0.026630434782608698,0.37290625,False
53,0.00036499999987427145,-0.1708333333333333,0.2462911708618164,False
54,0.0034049999999297142,-0.03263888888888889,0.5,False
55,0.0018609999997352134,-0.0482608695652174,0.1862890625,False
56,0.0012199999996482802,-0.050227272727272725,0.06584765625,False
57,0.0014820000001236622,-0.04326923076923077,0.25,False
58,0.0005320000000210712,-0.11555555555555556,0.48934822646895104,False
59,0.0011129999998047424,-0.05475,0.37099629939453127,False
60,0.0015159999998104468,-0.04645833333333333,0.5,False
61,0.0041350000001330045,-0.019420289855072468,0.5,False
62,0.004311000000143395,-0.02342592592592593,0.49725,False
63,0.001396999999997206,-0.044800000000000006,0.39936594022293825,False
64,0.0010839999999916472,-0.06027777777777778,0.495267421875,False
65,0.0029540000000451982,-0.02342592592592593,0.5,False
66,0.0015390000003208115,-0.041851851851851855,0.49875,False
67,0.001734999999825959,-0.03709677419354839,0.5,False
68,0.003568000000086613,-0.029875000000000002,0.49875,False
69,0.004252000000178668,-0.017922077922077926,0.25,False
70,0.0014590000000680448,0.036875,0.50125,False
71,0.003412000000025728,-0.022155172413793105,0.19968297011146913,False
72,0.0028550000001814624,-0.03263888888888889,0.48970872983145464,False
73,0.001584999999977299,-0.07133333333333333,0.09314453125,False
74,0.0031770000000506116,-0.026170212765957452,0.5,False
75,0.0022790000002714805,-0.029268292682926834,0.25,False
76,0.0007940000000417058,-0.07607142857142857,0.42867167827405966,False
77,0.0031690000000708096,-0.022155172413793105,0.49285991366210935,False
78,0.006668999999874359,0.004392523364485978,0.41599888878080105,False
79,0.0037870000001021253,-0.019420289855072468,0.5,False
80,0.002167000000099506,-0.03118421052631579,0.125,False
81,0.0028049999996255792,0.016382978723404253,0.33973934971266356,False
82,0.002947999999832973,0.013962264150943393,0.23574413060595012,False
83,0.011275000000296131,0.002444444444444441,0.19339175263968134,False
84,0.0025500000001557055,0.027419354838709678,0.25174838418357326,False
85,0.0007409999998344574,-0.14714285714285716,0.032923828125,False
86,0.005577999999786698,0.011209677419354837,0.2958716922468696,False
87,0.0032059999998637068,-0.026170212765957452,0.4853392493524289,False
88,0.003189999999904103,-0.027613636363636365,0.7596784033148251,False
89,0.002389999999650172,0.020124999999999997,0.16678905381726306,False
90,0.0021030000002610905,0.027419354838709678,0.1264510605350399,False
91,0.004993999999896914,-0.019632352941176472,0.6114057125071395,False
92,0.001728000000184693,0.03222222222222222,0.33008377283381857,False
93,0.004087000000254193,-0.020793650793650795,0.49875,False
94,0.007943999999952212,0.004220183486238528,0.875,False
95,0.001758999999765365,-0.03609375,0.25,False
96,0.0027540000000954024,-0.025729166666666668,0.09984148505573454,False
97,0.0019560000000637956,-0.03342857142857143,0.249375,False
98,0.0014240000000427244,-0.0482608695652174,0.400746021763414,False
99,0.011801999999988766,-0.010349462365591401,0.5448046971720171,False
100,0.0066039999996974075,-0.013652173913043481,0.5625,False
101,0.016032999999879394,-0.008712686567164155,0.1246875,False
102,0.0007940000000417058,-0.07607142857142857,0.125,False
103,0.004148999999870284,0.02076923076923077,0.4760078226621299,False
104,0.0010200000001532317,-0.06027777777777778,0.06234375000000003,False
105,0.0018979999999828578,-0.03426470588235294,0.28125,False
106,0.005912999999964086,0.0044811320754716945,0.2912398920535982,False
107,0.002144999999927677,0.02216216216216216,0.3686472742098237,False
108,0.0046950000000833825,0.009357142857142854,0.37331379714904056,False
