steps,time,reward,delta,converged
1,0.00039199999991978984,-0.33666666666666667,0.9,False
2,0.0005830000000059954,-0.20400000000000001,0.9,False
3,0.0006969999999455467,-0.1708333333333333,0.9,False
4,0.0003690000000915461,-0.33666666666666667,0.9,False
5,0.0002590000001418957,-0.5025,0.9,False
6,0.001121000000011918,-0.1045,0.9,False
7,0.00218300000005911,-0.040535714285714286,0.08999999999999998,False
8,0.001471999999921536,-0.04645833333333333,0.89595,False
9,0.00137999999992644,-0.08791666666666666,0.89314335,False
10,0.0009529999999813299,-0.20400000000000001,0.8931178350000001,False
11,0.0005799999998998828,-0.5025,0.8923591009935,False
12,0.0019159999999374122,-0.129375,0.009000000000000008,False
13,0.0011810000000878063,-0.05238095238095238,0.886793817124581,False
14,0.00024399999983870657,-0.25375,0.08923591009934995,False
15,0.0019210000000384753,0.024558823529411765,0.9,False
16,0.00268499999992855,-0.026630434782608698,0.08999999999999998,False
17,0.0008940000000166037,-0.0671875,0.8103496455,False
18,0.00034899999991466757,-0.1708333333333333,0.009000000000000008,False
19,0.00034899999991466757,-0.1708333333333333,0.08103496454999996,False
20,0.0005390000001170847,-0.11555555555555556,0.9,False
21,0.00048399999991488585,-0.129375,0.7976684834067084,False
22,0.00036399999999048305,-0.33666666666666667,0.0797668483406708,False
23,0.000565000000051441,-0.11555555555555556,0.00797668483406705,False
24,0.0008310000000619766,-0.09545454545454546,0.9,False
25,0.0007070000001476728,-0.5025,0.8851981785262247,False
26,0.001036999999996624,-0.08791666666666666,0.008103496455000038,False
27,0.00026800000000548607,-0.33666666666666667,0.8841869111423026,False
28,0.0010110000000622676,-0.07607142857142857,0.8063858482714777,False
29,0.0006969999999455467,-0.09545454545454546,0.0009000000000000008,False
30,0.0005839999998897838,-0.1708333333333333,0.8031947951983407,False
31,0.0017080000000078144,-0.05475,0.8850441404494904,False
32,0.00014099999998506973,-0.5025,0.08031947951983405,False
33,0.0001989999998386338,-0.33666666666666667,0.008031947951983365,False
34,0.0006139999998140411,-0.11555555555555556,0.0008031947951983365,False
35,0.0006490000000667351,-0.1708333333333333,8.031947951986362e-05,False
36,0.0047830000000885775,-0.0482608695652174,0.9,False
37,0.0010839999999916472,-0.1045,8.031947951936403e-06,False
38,0.00024500000017724233,-0.5025,8.031947951736562e-07,False
39,0.005077999999912208,-0.041851851851851855,0.89110255502835,False
40,0.003962999999885142,-0.024900000000000002,0.8849266268448225,False
41,0.0003189999999904103,-0.20400000000000001,0.08931178349999995,False
42,0.00020199999994474638,-0.33666666666666667,0.0008103496454999637,False
43,0.0005430000001069857,-0.11555555555555556,0.8871172716651113,False
44,0.0007719999998698768,-0.08153846153846155,0.08999999999999998,False
45,0.0002520000000458822,-0.25375,0.08999999999999998,False
46,0.0011400000000776345,-0.06352941176470589,0.8879885144153298,False
47,0.0014200000000528235,-0.05238095238095238,0.08911025550283504,False
48,0.0007160000000112632,-0.08791666666666666,0.7974146693860308,False
49,0.002242000000023836,-0.029875000000000002,0.7970347197909434,False
50,0.0001830000001064036,-0.33666666666666667,0.07970347197909428,False
51,0.0005630000000564905,-0.1045,0.007970347197909478,False
52,0.0014880000001085136,-0.041851851851851855,0.0007970347197909678,False
53,0.0007270000000971777,-0.08153846153846155,0.07974146693860311,False
54,0.0024439999999685824,-0.027613636363636365,0.7967017869894287,False
55,0.0005089999999654538,-0.11555555555555556,0.8842427966603885,False
56,0.0021440000000438886,-0.030512820512820518,0.8841255832494881,False
57,0.003114999999979773,-0.023090909090909092,0.8850680109223781,False
58,0.0003460000000359287,-0.1708333333333333,0.8859059181602439,False
59,0.003065999999989799,-0.024900000000000002,0.008911025550283514,False
60,0.0008980000000065047,-0.0671875,0.0796701786989429,False
61,0.0003540000000157306,-0.1708333333333333,0.8850008281632671,False
62,0.002072999999882086,-0.03118421052631579,0.08841255832494875,False
63,0.0006730000000061409,-0.08791666666666666,8.999999999999009e-05,False
64,0.0008350000000518776,-0.07133333333333333,0.9,False
65,0.0003999999998995918,-0.14714285714285716,0.89595,False
66,0.0006710000000111904,-0.08791666666666666,0.008841255832494855,False
67,0.0003990000000158034,-0.14714285714285716,0.8900441508353343,False
68,0.0012100000001282751,-0.050227272727272725,0.7965183616927077,False
69,0.00012799999990420474,-0.5025,0.07965183616927075,False
70,0.0002919999999448919,-0.20400000000000001,0.8850003624645804,False
