episode,length,time,reward,delta
0,34.0,0.0023189999992609955,-1.1700000000000002,-1.0000636950084394
1,12.0,0.0014229999997041887,-1.06,-1.0001512622292401
2,9.0,0.0006039999998392886,-1.045,-1.000603299917935
3,18.0,0.001051000000188651,-1.09,-1.0005345996677246
4,56.0,0.0033979999998337007,-1.2800000000000002,-0.10000636950084407
5,50.0,0.003184000000146625,-1.25,-0.9998739440580079
6,51.0,0.003222999999707099,-1.2550000000000001,-0.9950701498243216
7,17.0,0.0015459999995073304,-1.085,-0.10006032999179348
8,24.0,0.001952999999957683,-1.12,-0.9999044893057553
9,33.0,0.0020569999996951083,-1.165,-0.9998070306128102
10,7.0,0.00045700000009674113,-1.035,-0.010000636950084352
11,13.0,0.0007750000004307367,-1.065,-0.1000534599667725
12,10.0,0.0006769999999960419,-1.05,-0.9955616936864164
13,35.0,0.0021210000004430185,-1.175,-0.01000534599667724
14,7.0,0.0004559999997582054,-1.035,-1.0006548968763687
15,34.0,0.001931999999214895,-1.1700000000000002,-1.000763982843642
16,18.0,0.00105000000075961,-1.09,-0.10001512622292386
17,10.0,0.0010300000003553578,-1.05,-1.0002955719965254
18,16.0,0.0012360000000626314,-1.08,-0.09955616936864164
19,14.0,0.0008470000002489542,-1.07,-1.000162241050291
20,8.0,0.0005600000004051253,-1.04,-0.8940333821817835
21,15.0,0.0008809999999357387,-1.075,-0.9041192176625868
22,13.0,0.0007759999998597777,-1.065,-0.09994806225682518
23,21.0,0.001255999999557389,-1.105,-0.08940333821817836
24,23.0,0.0014899999996487168,-1.115,-1.0000266191707965
25,14.0,0.0008370000005015754,-1.07,-0.10002955719965256
26,16.0,0.0010080000001835288,-1.08,-0.9999364361553165
27,9.0,0.0005580000006375485,-1.045,-0.9928172758481295
28,10.0,0.000608999999712978,-1.05,-0.8949757687462073
29,29.0,0.0028979999997318373,-1.145,-1.0006201715310319
30,39.0,0.0024750000002313755,-1.195,-1.0005561070826754
31,33.0,0.0020309999999881256,-1.165,-0.0010005345996677573
32,6.0,0.0006700000003547757,-1.03,-0.9933716714995244
33,27.0,0.0015519999997195555,-1.135,-1.0005416852126352
34,24.0,0.0017189999998663552,-1.12,-0.9926827599697187
35,101.0,0.00731400000040594,-1.5050000000000003,-1.0004705298980645
36,17.0,0.0011060000006182236,-1.085,-0.8948691138176588
37,8.0,0.0005380000002332963,-1.04,-0.9999143953281499
38,13.0,0.000826999999844702,-1.065,-0.010037192899432834
39,29.0,0.00183999999990192,-1.145,-1.0005802037777216
40,6.0,0.000420000000303844,-1.03,-0.9950151242976536
41,29.0,0.0018790000003718887,-1.145,-0.9998402439886248
42,18.0,0.0010489999995115795,-1.09,-0.10006201715310326
43,6.0,0.0003910000004907488,-1.03,-0.0894869113817659
44,46.0,0.002779999999802385,-1.2300000000000002,-1.0004754037692656
45,12.0,0.0012429999997038976,-1.06,-0.9036240966685373
46,73.0,0.0043370000003051246,-1.3650000000000002,-0.9954841663301138
47,14.0,0.000832000000627886,-1.07,-1.0005420320492415
48,26.0,0.001607999999578169,-1.1300000000000001,-1.0001495161935419
49,14.0,0.0008389999993596575,-1.07,-0.008948691138176645
50,22.0,0.0017879999995784601,-1.11,-1.0006658506532273
51,28.0,0.0028119999997215928,-1.1400000000000001,-0.1000162241050292
52,10.0,0.0013209999997343402,-1.05,-0.9926053829579737
53,5.0,0.0008309999993798556,-1.025,-0.9928617871266855
54,24.0,0.0016649999997753184,-1.12,-1.0004897010043723
55,12.0,0.0008520000001226435,-1.06,-0.010006032999179348
56,24.0,0.0016279999999824213,-1.12,-0.09933716714995233
57,34.0,0.0025429999996049446,-1.1700000000000002,-0.9935172790451046
58,8.0,0.0006789999997636187,-1.04,-0.7517871038951853
59,60.0,0.0050369999999020365,-1.3000000000000003,-0.010001622410502953
60,4.0,0.00029600000016216654,-1.02,-0.9024042924426622
61,28.0,0.0017539999998916755,-1.1400000000000001,-1.0006281454299342
62,38.0,0.002312999999958265,-1.1900000000000002,-0.10005420320492409
63,40.0,0.003656000000773929,-1.2000000000000002,-0.10005416852126348
64,21.0,0.0012580000002344605,-1.105,-0.10001495161935414
65,34.0,0.001983999999538355,-1.1700000000000002,-0.9956576715371015
66,109.0,0.00752100000045175,-1.5450000000000004,-0.9929599759051518
67,17.0,0.0009880000006887713,-1.085,-0.9955520262291391
68,44.0,0.002599000000373053,-1.2200000000000002,-0.0008948691138176423
69,18.0,0.0010959999999613501,-1.09,-0.9927967641598747
70,10.0,0.0006869999997434206,-1.05,-0.9927679034914699
71,114.0,0.007728000000497559,-1.5700000000000003,-0.9926954092815298
72,34.0,0.0020400000003064633,-1.1700000000000002,-0.00010005345996677573
73,39.0,0.002246000000013737,-1.195,-0.9925742463934538
74,15.0,0.0009289999998145504,-1.075,-0.9926569510619851
75,21.0,0.0019249999995736289,-1.105,-0.9023474182047847
76,19.0,0.0017849999994723476,-1.095,-0.9925971658382842
77,94.0,0.008100000000013097,-1.4700000000000002,-0.9936935120582863
78,194.0,0.012698999999884109,-1.9700000000000006,-0.9927460758708129
79,53.0,0.0029549999999289867,-1.2650000000000001,-0.9916857675494964
80,47.0,0.0026179999995292746,-1.235,-0.8944127909356661
81,106.0,0.006476999999904365,-1.5300000000000002,-0.9035396658695606
82,86.0,0.006191000000399072,-1.4300000000000002,-0.9926281458094195
83,14.0,0.0008330000000569271,-1.07,-0.9926278265446865
84,50.0,0.002876999999898544,-1.25,-0.09024042924426623
85,11.0,0.0007080000004862086,-1.055,-1.000534599671088e-05
86,31.0,0.0018629999995027902,-1.155,-0.9925959873510125
87,227.0,0.014903000000231259,-2.134999999999998,-0.9926276996117126
