steps,time,reward,delta,converged
1,0.0007809999999608408,-0.1045,0.7,False
2,0.00014299999998002022,-0.5025,0.7,False
3,0.0004910000000108994,-0.129375,0.7,False
4,0.00013799999987895717,-0.5025,0.7,False
5,0.0007720000000972504,-0.08153846153846155,0.69755,False
6,0.00013599999988400668,-0.5025,0.21000000000000002,False
7,0.00031100000001060835,-0.20400000000000001,0.69755,False
8,0.00031000000012681994,-0.20400000000000001,0.7,False
9,0.0008840000000418513,-0.08153846153846155,0.7,False
10,0.0003309999999601132,-0.20400000000000001,0.7,False
11,0.0013910000000123546,-0.05736842105263158,0.69755,False
12,0.0004490000001169392,-0.14714285714285716,0.6952329125,False
13,0.00032599999985905015,-0.20400000000000001,0.21000000000000002,False
14,0.00038999999992483936,-0.1708333333333333,0.69755,False
15,0.00021200000014687248,-0.5025,0.69497658125,False
16,0.005067999999937456,-0.044800000000000006,0.6946427081125,False
17,0.0006270000001222797,-0.14714285714285716,0.21000000000000002,False
18,0.0008699999998498242,-0.09545454545454546,0.7,False
19,0.000371999999970285,-0.20400000000000001,0.21000000000000002,False
20,0.0011589999999159772,-0.0671875,0.69755,False
21,0.006427999999914391,-0.01844594594594595,0.7,False
22,0.0003999999998995918,-0.1708333333333333,0.20856987375000002,False
23,0.0006280000000060681,0.0955,0.7,False
24,0.002903000000060274,-0.02377358490566038,0.06300000000000006,False
25,0.0009439999998903659,-0.06352941176470589,0.55055,False
26,0.004916000000093845,-0.017134146341463416,0.062570962125,False
27,0.0025749999999788997,0.016847826086956518,0.49661692500000004,False
28,0.0010560000000623404,-0.05736842105263158,0.6933410581893771,False
29,0.002287999999907697,-0.029268292682926834,0.6930004900905088,False
30,0.0012319999998453568,-0.050227272727272725,0.693011972865037,False
31,0.0020240000001194858,-0.0318918918918919,0.20790014702715265,False
32,0.015787000000045737,-0.008812260536398447,0.21000000000000002,False
33,0.00454899999999725,-0.023090909090909092,0.06300000000000006,False
34,0.002705999999989217,-0.035151515151515156,0.5040000504340498,False
35,0.004111999999850013,-0.024509803921568627,0.15120001513021492,False
36,0.013810000000148648,-0.010751445086705207,0.21000000000000002,False
37,0.0013790000000426517,-0.06352941176470589,0.20926500000000003,False
38,0.003804999999829306,-0.026170212765957452,0.018900000000000014,False
39,0.002992999999833046,0.02216216216216216,0.6994230186123191,False
40,0.008548000000018874,0.004571428571428568,0.20982690558369577,False
41,0.004422999999860622,0.013962264150943393,0.06294807167510875,False
42,0.00877200000013545,-0.014386792452830192,0.6323194923363709,False
43,0.0043020000000524306,-0.02377358490566038,0.005669999999999997,False
44,0.031015000000024884,-0.0029405737704917426,0.018884421502532632,False
45,0.03769200000010642,-0.006700854700854632,0.045360004539064525,False
46,0.057935999999926935,-0.003937632135306471,0.005665326450759766,False
47,0.005965999999943961,0.005923913043478258,0.0016995979352279144,False
48,0.004433999999946536,0.013272727272727271,0.49415133116936377,False
49,0.005108000000063839,0.01232758620689655,0.14824539935080921,False
50,0.0010800000000017462,-0.08153846153846155,0.6956328272341549,False
51,0.00200700000004872,0.03869565217391304,0.04447361980524273,False
52,0.00850399999990259,0.0022302158273381258,0.013342085941572789,False
53,0.009049000000004526,-0.01106707317073171,0.0017010000000000302,False
54,0.007386999999880572,0.0024999999999999966,0.004002625782471813,False
55,0.007884000000103697,0.001931034482758617,0.0012007877347415595,False
56,0.024206999999933032,-0.0021448863636363198,0.00036023632042249116,False
57,0.007949999999937063,0.001979166666666663,0.48653483550711585,False
58,0.011074999999891588,2.4999999999996135e-05,0.5147661125345447,False
59,0.0019119999999475112,0.024558823529411765,0.15442983376036348,False
60,0.0115690000000086,7.57575757575719e-05,0.046328950128109066,False
61,0.018540000000029977,-0.0017993630573248046,0.013898685038432688,False
62,0.014079000000037922,-0.0010433070866141536,0.004169605511529784,False
63,0.0038710000001174194,0.009154929577464785,0.24826307307474835,False
64,0.00627400000007583,0.003973214285714282,0.07447892192242449,False
65,0.01071300000012343,0.0005833333333333296,0.022343676576727377,False
66,0.026090000000067448,-0.0027960526315788897,0.006703102973018182,False
67,0.02027500000008331,-0.00223140495867764,0.0020109308919054937,False
68,0.011623999999983425,-0.0002142857142857129,0.47148844620808866,False
69,0.0005660000001626031,0.0955,0.14144653386242667,False
70,0.00885799999991832,0.0012422360248447169,0.042433960158728024,False
71,0.017432999999982712,-0.0017891373801916573,0.25572462223095194,False
72,0.08379400000012538,-0.004339684625492681,0.0767173866692856,False
73,0.0018459999998867715,0.027419354838709678,0.023015216000785665,False
74,0.003768000000036409,0.009999999999999997,0.006904564800235668,False
75,0.011343000000124448,-0.0001449275362318842,0.24879639013604593,False
76,0.005717999999887979,0.004757281553398055,0.0746389170408138,False
77,0.00528800000006413,0.005691489361702124,0.022391675112244123,False
78,0.0015959999998358398,0.029655172413793104,0.0067175025336732135,False
79,0.0038399999998546264,0.009357142857142854,0.002015250760101972,False
80,0.011995000000069922,-0.0004524886877827988,0.0006045752280305683,False
81,0.0029579999998077255,0.013611111111111109,0.00018137256840915493,False
82,0.004461999999875843,0.007407407407407404,0.5577111037616281,False
83,0.011483999999882144,-0.00025943396226414857,0.35620366523351754,False
84,0.003735000000006039,0.010227272727272724,0.10686109957005518,False
85,0.015228999999862936,-0.001397849462365564,0.032058329871016554,False
86,0.003351000000066051,0.011475409836065572,0.009617498961304982,False
87,0.011887000000115222,-0.00028169014084506756,0.0028852496883914557,False
88,0.007315999999946143,0.0028515624999999965,0.0008655749065174522,False
89,0.03044099999988248,-0.003172727272727207,0.0002596724719552745,False
90,0.0009430000000065775,0.054117647058823534,7.790174158660567e-05,False
91,0.01974900000004709,-0.002184873949579787,2.337052247597393e-05,False
92,0.015241000000060012,-0.0012639405204460722,7.011156742753321e-06,False
93,0.003653999999869484,0.009999999999999997,2.1033470228415395e-06,False
94,0.006951000000071872,0.0031707317073170695,6.310041068213756e-07,False
95,0.0009890000001178123,0.054117647058823534,0.24745012304580075,False
96,0.0020890000000690634,0.02144736842105263,0.07423503691374025,False
97,0.045411000000058266,-0.0037788578371809657,0.0222705110741221,False
