step,reward,mean,median,std,max,min
0,-0.0022314049586776856,-0.0022314049586776856,-0.0022314049586776856,0.0,-0.0022314049586776856,-0.0022314049586776856
1,-0.0035089020771513343,-0.00287015351791451,-0.00287015351791451,0.0006387485592368243,-0.0022314049586776856,-0.0035089020771513343
2,-0.00208695652173913,-0.002609087852522717,-0.0022314049586776856,0.0006389916884522043,-0.00208695652173913,-0.0035089020771513343
3,-0.005,-0.0032068158893920375,-0.00287015351791451,0.0011739119224252754,-0.00208695652173913,-0.005
4,0.0007428571428571432,-0.0024168812829422014,-0.0022314049586776856,0.0018969560066480178,0.0007428571428571432,-0.005
5,-0.0032053571428571426,-0.002548293926261358,-0.0027183810507674143,0.0017564305157768989,0.0007428571428571432,-0.005
6,-0.005,-0.0028985376510811643,-0.0032053571428571426,0.0018385730858891318,0.0007428571428571432,-0.005
7,-0.008024316109422492,-0.0035392599583738303,-0.0033571296100042385,0.0024148462981261275,0.0007428571428571432,-0.008024316109422492
8,-0.005,-0.0037015644074434046,-0.0035089020771513343,0.002322559364391593,0.0007428571428571432,-0.008024316109422492
9,-0.005,-0.003831407966699064,-0.004254451038575667,0.0022375406029684405,0.0007428571428571432,-0.008024316109422492
10,-0.003706563706563706,-0.0038200584885049404,-0.003706563706563706,0.002133713124438335,0.0007428571428571432,-0.008024316109422492
11,-0.005,-0.003918386947796195,-0.004353281853281853,0.002068741340587608,0.0007428571428571432,-0.008024316109422492
12,-0.005,-0.004001587951811872,-0.005,0.002008370642966244,0.0007428571428571432,-0.008024316109422492
13,-0.005,-0.004072903098111024,-0.005,0.001952321128271902,0.0007428571428571432,-0.008024316109422492
14,-0.007892441860465116,-0.004327539015601297,-0.005,0.002113103462217597,0.0007428571428571432,-0.008024316109422492
15,-0.005,-0.004369567827126216,-0.005,0.0020524685544197024,0.0007428571428571432,-0.008024316109422492
16,-0.005,-0.00440665207258938,-0.005,0.001996704642408334,0.0007428571428571432,-0.008024316109422492
17,-0.0035044642857142852,-0.004356530528874097,-0.005,0.0019514214769330786,0.0007428571428571432,-0.008024316109422492
18,-0.003467987804878048,-0.004309765122347989,-0.005,0.0019097089770310285,0.0007428571428571432,-0.008024316109422492
19,8.285246452426541e-19,-0.00409427686623059,-0.005,0.0020849238691307394,0.0007428571428571432,-0.008024316109422492
20,-0.0019819819819819817,-0.003993691395552084,-0.005,0.0020838091758021366,0.0007428571428571432,-0.008024316109422492
21,-0.003305227655986509,-0.003962397589208195,-0.004353281853281853,0.0020409435426476897,0.0007428571428571432,-0.008024316109422492
22,-0.005,-0.00400751073750349,-0.005,0.002007266378474098,0.0007428571428571432,-0.008024316109422492
23,-0.005,-0.0040488644567741785,-0.005,0.0019749864244189377,0.0007428571428571432,-0.008024316109422492
24,0.0031707317073170734,-0.0037600806102105282,-0.005,0.0023970930650352067,0.0031707317073170734,-0.008024316109422492
25,0.010952380952380951,-0.00319421670395701,-0.004353281853281853,0.0036783287034766,0.010952380952380951,-0.008024316109422492
26,-0.0015582191780821916,-0.003133624202998683,-0.003706563706563706,0.003622767573352001,0.010952380952380951,-0.008024316109422492
27,-0.005,-0.003200280481463016,-0.004353281853281853,0.0035743079499749642,0.010952380952380951,-0.008024316109422492
28,-0.005,-0.003262339775205671,-0.005,0.0035274600905304434,0.010952380952380951,-0.008024316109422492
29,-0.005,-0.003320261782698815,-0.005,0.003482169248742022,0.010952380952380951,-0.008024316109422492
30,-0.005,-0.0033744468864827246,-0.005,0.0034383772616461586,0.010952380952380951,-0.008024316109422492
31,-0.0006681034482758615,-0.0032898736540387602,-0.005,0.00341682873157085,0.010952380952380951,-0.008024316109422492
32,-0.005,-0.0033416956645224345,-0.005,0.0033774066818507806,0.010952380952380951,-0.008024316109422492
33,-0.003953125,-0.0033596788802717744,-0.005,0.003328971555056532,0.010952380952380951,-0.008024316109422492
34,-0.0063249001331557924,-0.003444399487497032,-0.005,0.0033180505318731127,0.010952380952380951,-0.008024316109422492
35,-0.005,-0.003487610612844337,-0.005,0.0032816143991435407,0.010952380952380951,-0.008024316109422492
36,-0.003389423076923077,-0.0034849568956572758,-0.005,0.003237003663542928,0.010952380952380951,-0.008024316109422492
37,-0.0019266055045871555,-0.0034439476485238515,-0.005,0.0032038532836462627,0.010952380952380951,-0.008024316109422492
38,-0.005,-0.00348384642676683,-0.005,0.0031720611156357487,0.010952380952380951,-0.008024316109422492
39,-0.0024812030075187963,-0.003458780341285629,-0.005,0.003136068632110558,0.010952380952380951,-0.008024316109422492
40,-0.005,-0.0034963710646689064,-0.005,0.0031066980396291335,0.010952380952380951,-0.008024316109422492
41,-0.006856343283582089,-0.0035763704032144585,-0.005,0.0031119397520015723,0.010952380952380951,-0.008024316109422492
42,-0.0023759791122715396,-0.0035484543266809027,-0.005,0.0030808581101507194,0.010952380952380951,-0.008024316109422492
43,-0.005,-0.0035814440010745185,-0.005,0.003053320199919872,0.010952380952380951,-0.008024316109422492
44,-0.005,-0.003612967467717307,-0.005,0.0030264361513608652,0.010952380952380951,-0.008024316109422492
45,-0.007733516483516482,-0.0037025446202346803,-0.005,0.0030530776602073774,0.010952380952380951,-0.008024316109422492
46,-0.0014982578397212541,-0.0036556449015003522,-0.005,0.0030371267459893057,0.010952380952380951,-0.008024316109422492
47,-0.001849529780564263,-0.0036180175031475166,-0.005,0.0030163741318686888,0.010952380952380951,-0.008024316109422492
48,-0.005,-0.003646221227573078,-0.005,0.002991823953716708,0.010952380952380951,-0.008024316109422492
49,5.025125628140792e-05,-0.0035722917778959877,-0.005,0.0030066265101573097,0.010952380952380951,-0.008024316109422492
50,-0.005,-0.0036002860567607726,-0.005,0.0029835777039286648,0.010952380952380951,-0.008024316109422492
51,-0.005,-0.003627203632592296,-0.005,0.0029609966289341253,0.010952380952380951,-0.008024316109422492
52,-0.0034247648902821317,-0.0036233840336807833,-0.005,0.0029330590062532965,0.010952380952380951,-0.008024316109422492
53,-0.0038064133016627068,-0.0036267734645693377,-0.005,0.0029058789116603715,0.010952380952380951,-0.008024316109422492
54,-0.003063583815028902,-0.0036165336527595117,-0.005,0.00288032370997642,0.010952380952380951,-0.008024316109422492
55,0.0050500000000000015,-0.0034617741232459485,-0.005,0.0030765882482748316,0.010952380952380951,-0.008024316109422492
56,-0.005,-0.0034887605421363706,-0.005,0.003056160765518904,0.010952380952380951,-0.008024316109422492
57,0.0006460674157303377,-0.003417470404931772,-0.005,0.0030771370241599824,0.010952380952380951,-0.008024316109422492
58,-0.0006681034482758615,-0.0033708709649884518,-0.005,0.003071519502219667,0.010952380952380951,-0.008024316109422492
59,-0.007763888888888889,-0.003444087930386792,-0.005,0.0030973016593394405,0.010952380952380951,-0.008024316109422492
60,-0.003774390243902438,-0.003449502722411639,-0.005,0.003072095363414785,0.010952380952380951,-0.008024316109422492
61,-0.005,-0.0034745107430179025,-0.005,0.0030534729887741127,0.010952380952380951,-0.008024316109422492
62,-0.006359289617486338,-0.0035203008838824807,-0.005,0.0030505245109764406,0.010952380952380951,-0.008024316109422492
63,-0.003929712460063897,-0.0035266979397603157,-0.005,0.003027024337401824,0.010952380952380951,-0.008024316109422492
64,-0.005,-0.0035493641253024647,-0.005,0.0030091177100301683,0.010952380952380951,-0.008024316109422492
65,-0.009693396226415093,-0.003642455520773868,-0.005,0.003079104760858425,0.010952380952380951,-0.009693396226415093
66,-0.005,-0.0036627173786727657,-0.005,0.0030604699305295338,0.010952380952380951,-0.009693396226415093
67,-0.005,-0.003682383299574637,-0.005,0.0030421449742722272,0.010952380952380951,-0.009693396226415093
68,-0.008070987654320986,-0.003745986261237627,-0.005,0.0030652248917973092,0.010952380952380951,-0.009693396226415093
69,-0.005,-0.0037639007432199467,-0.005,0.00304688772455658,0.010952380952380951,-0.009693396226415093
70,-0.003349753694581281,-0.003758067686196867,-0.005,0.003025748280069277,0.010952380952380951,-0.009693396226415093
71,-0.005,-0.0037753167461108,-0.005,0.003008175924241656,0.010952380952380951,-0.009693396226415093
72,-0.005,-0.003792093229040789,-0.005,0.0029908905425993044,0.010952380952380951,-0.009693396226415093
73,-0.005,-0.0038084162935132105,-0.005,0.002973885067908047,0.010952380952380951,-0.009693396226415093
74,0.0023897058823529414,-0.003725774664501662,-0.005,0.0030383327291589705,0.010952380952380951,-0.009693396226415093
75,-0.005,-0.0037425407873371667,-0.005,0.00302176799800875,0.010952380952380951,-0.009693396226415093
76,-0.003179347826086956,-0.003735226593035216,-0.005,0.0030027590913589276,0.010952380952380951,-0.009693396226415093
77,-0.003131970260223048,-0.003727492537486342,-0.005,0.002984220335754875,0.010952380952380951,-0.009693396226415093
78,0.010952380952380951,-0.0035416713540703006,-0.005,0.0033891214521495332,0.010952380952380951,-0.009693396226415093
79,-0.0029614604462474643,-0.0035344187177225135,-0.005,0.0033684897020308485,0.010952380952380951,-0.009693396226415093
80,-0.005,-0.0035525123138000136,-0.005,0.00335154145607374,0.010952380952380951,-0.009693396226415093
81,0.006823529411764707,-0.0034259752195858095,-0.005,0.0035203390364640453,0.010952380952380951,-0.009693396226415093
82,-0.0028479657387580296,-0.003419011249937282,-0.005,0.003499636122418566,0.010952380952380951,-0.009693396226415093
83,-0.005,-0.0034378325445808856,-0.005,0.0034829659762220092,0.010952380952380951,-0.009693396226415093
84,-0.005,-0.0034562109852328752,-0.005,0.0034665121040584083,0.010952380952380951,-0.009693396226415093
85,-0.0033578431372549024,-0.0034550671730470845,-0.005,0.0034463151672673256,0.010952380952380951,-0.009693396226415093
86,-0.003067307692307692,-0.0034506101675213442,-0.005,0.0034267007978294626,0.010952380952380951,-0.009693396226415093
87,-0.005,-0.0034682168701631487,-0.005,0.003411130754835512,0.010952380952380951,-0.009693396226415093
88,-0.003313758389261745,-0.0034664813816136946,-0.005,0.0033919520343572585,0.010952380952380951,-0.009693396226415093
