params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",2.056149000000005,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""discount_factor"": 0.1}",2.0922120000000035,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""discount_factor"": 0.2}",1.6575190000000077,100,-3.302884615384615,-3.3028846153846154,-13.375,6.769230769230769,10.072115384615383
"{""discount_factor"": 0.3}",1.7039469999999994,100,-3.705769230769231,-13.375,-13.375,6.769230769230769,10.064054466649726
"{""discount_factor"": 0.4}",1.6787080000000003,100,-3.705769230769231,-13.375,-13.375,6.769230769230769,10.064054466649727
"{""discount_factor"": 0.5}",1.6287250000000029,100,-2.2956730769230775,6.769230769230769,-13.375,6.769230769230769,10.02162827278062
"{""discount_factor"": 0.6}",1.6787949999999938,100,-1.4899038461538459,6.769230769230769,-13.375,6.769230769230769,9.907603597813415
"{""discount_factor"": 0.7}",1.783570999999995,100,-4.712980769230769,-13.375,-13.375,6.769230769230769,9.972920192095904
"{""discount_factor"": 0.8}",1.7235780000000034,100,-3.5043269230769227,-13.375,-13.375,6.769230769230769,10.070100760055857
"{""discount_factor"": 0.9}",1.8338639999999913,100,-3.9072115384615387,-13.375,-13.375,6.769230769230769,10.053969230659614
