params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",1.9233469999999997,100,-0.004999999999999999,-0.005,-0.005,-0.005,8.673617379884035e-19
"{""discount_factor"": 0.1}",1.9049739999999957,100,-0.004999999999999999,-0.005,-0.005,-0.005,8.673617379884035e-19
"{""discount_factor"": 0.2}",1.9117900000000105,100,-0.004691274341283841,-0.005,-0.007618421052631578,0.006043956043956044,0.0014655842050175045
"{""discount_factor"": 0.3}",1.8481789999999876,100,-0.004439902721276219,-0.005,-0.01759493670886076,0.020124999999999997,0.003779212977253734
"{""discount_factor"": 0.4}",1.6591319999999996,100,-0.0037708483975710566,-0.005,-0.021048387096774195,0.010952380952380951,0.00374402120357765
"{""discount_factor"": 0.5}",1.226499000000004,100,0.02420267782239195,0.04657236842105263,-0.08153846153846155,0.0667857142857143,0.04831219477726753
"{""discount_factor"": 0.6}",1.1565420000000017,100,0.03065854067521732,0.050833333333333335,-0.08153846153846155,0.0667857142857143,0.04520694525026629
"{""discount_factor"": 0.7}",1.2412839999999932,100,0.02848891851750879,0.04789473684210527,-0.07607142857142857,0.0667857142857143,0.04466180996365862
"{""discount_factor"": 0.8}",1.182783999999998,100,0.016026697030764588,0.04525,-0.08153846153846155,0.0667857142857143,0.05389843225238632
"{""discount_factor"": 0.9}",1.19637800000001,100,0.02908360797501432,0.050833333333333335,-0.129375,0.0667857142857143,0.04875815219715918
